Product_ID,Original Price,Sale Price,Badge,Availability,Size,Color,Link
SHO23GSUE25403TM1,"LE 1,999.00",LE 799.00,New,Quick Add,41,Black,https://townteam.com//products/5637713124
SHO24WCFL25412TM1,"LE 1,999.00",LE 799.00,New,Out Of Stock,Out Of Stock,Out Of Stock,https://townteam.com//products/5637887414
SHO22GPUL25303TM1,"LE 1,399.00",LE 699.00,Old,Quick Add,44,Black,https://townteam.com//products/7631361339583007353
SHO22GPUS25205TM1,"LE 1,799.00",LE 899.00,Old,Quick Add,41,Beige,https://townteam.com//products/7790723476371029083
SHO22GSUE25224TM1,"LE 1,299.00",LE 499.00,Old,Quick Add,40,Black,https://townteam.com//products/6971110774415664867
SHO22SSUE25272TM1,"LE 1,499.00",LE 749.00,Old,Quick Add,40,Black,https://townteam.com//products/7453740063144941242
SHO21GSUE25106TM1,LE 899.00,LE 399.00,Old,Quick Add,41,Black,https://townteam.com//products/6187418791468071412
SHO23GPUL25218TM1,"LE 1,399.00",LE 699.00,New,Quick Add,45,Grey,https://townteam.com//products/7980529637205745432
SHO22GPUS25203TM1,"LE 1,899.00",LE 949.00,Old,Quick Add,42,Blue,https://townteam.com//products/7790729855210658426
SHO22WSUE25221TM1,"LE 1,299.00",LE 599.00,Old,Quick Add,40,Camel,https://townteam.com//products/6833887523911437547
SHO22GSUE25230TM1,"LE 1,799.00",LE 899.00,Old,Quick Add,40,Blue,https://townteam.com//products/6885767421512930895
SHO22WPUS95500RM1,"LE 1,299.00",LE 599.00,Old,Quick Add,41,Blue,https://townteam.com//products/7278239484839634997
SHO22GSUE25278TM1,"LE 1,599.00",LE 799.00,Old,Quick Add,40,Black,https://townteam.com//products/7898988442628438163
SHO23GPUL25351TM1,"LE 1,599.00",LE 639.00,Old,Quick Add,44,White,https://townteam.com//products/8491767551639896760
SHO23GPUS25348TM1,"LE 1,599.00",LE 799.00,New,Quick Add,42,Grey,https://townteam.com//products/8491748708656268860
